trans	DIA	HORA	X_Estimate	Y_Estimate	POS
41	110710	1156	203441,33	7567795,18	A
41	110710	1835	203486,04	7567869,75	H
41	110710	1836	203562,42	7567923,23	H
41	110710	1837	203504,62	7567882,75	V
41	110710	1844	203414,98	7567919,43	H
41	110710	1845	203422,47	7567928,35	H
41	110710	2255	205175,25	7568680,64	V
41	120710	1833	203529,91	7567821,46	H
41	120710	1834	204496,03	7567736,94	H
41	120710	1836	203698,22	7568068,99	V
41	120710	1841	203533,37	7567953,57	H
41	120710	2035	205179,26	7568738,25	H
41	120710	2125	205153,00	7568722,36	H
41	140710	1827	203443,23	7567795,93	V
41	140710	1830	203401,13	7567706,56	H
41	140710	1831	203696,34	7567842,14	H
41	140710	1832	203480,29	7567869,76	H
41	140710	2027	205172,06	7568838,37	V
41	140710	2035	205173,87	7568835,09	H
41	140710	2036	205199,00	7568820,58	H
41	140710	2038	205246,22	7568793,32	H
41	110710	1844	203434,34	7567908,33	H
41	110710	1837	203513,16	7567833,96	V
41	110710	1837	203397,57	7567920,13	V
41	110710	2255	205130,24	7568675,38	V
41	120710	1836	203870,57	7567971,26	V
41	120710	2040	205191,81	7568694,51	V
41	120710	1834	203635,16	7567695,37	H
41	120710	1840	203717,05	7567930,12	H
41	120710	2040	205154,53	7568704,50	H
41	140710	1827	203438,75	7567754,28	V
41	140710	1831	203478,07	7567667,48	H
41	140710	1832	203680,74	7567806,96	H
41	140710	2028	205166,38	7568835,84	V
41	140710	2036	205169,97	7568828,22	H
41	140710	2038	205213,84	7568775,94	V
42	200710	1820	203412,17	7567549,36	H
42	200710	1824	203387,81	7567617,34	H
42	200710	1825	203429,66	7567620,47	H
42	200710	1829	203587,25	7567432,65	H
42	200710	1842	203464,14	7567477,02	V
42	200710	1857	203762,56	7567368,40	H
42	200710	1910	203121,83	7566452,10	V
42	200710	1911	203206,15	7566532,40	V
42	200710	1921	203485,32	7566650,25	V
42	200710	1922	203299,20	7566346,39	V
42	200710	1923	203598,15	7566348,25	V
42	200710	1925	203196,28	7566505,69	V
42	200710	2017	203352,72	7566282,61	V
42	200710	2026	203738,52	7566312,12	V
42	200710	2052	208583,72	7563388,62	V
42	200710	2105	204357,98	7566313,81	H
42	200710	211200	203299,77	7566582,71	H
42	200710	211201	203218,70	7566553,21	H
42	200710	211300	203399,05	7566423,04	H
42	200710	211301	203738,52	7566312,12	H
42	200710	211400	203290,50	7566488,93	H
42	200710	211401	203179,69	7566506,71	H
42	200710	211500	205174,59	7565984,09	H
42	200710	211501	203187,91	7566527,12	H
42	200710	2117	203738,51	7566423,04	H
42	200710	2118	203423,99	7566478,50	V
42	200710	2121	203527,53	7566270,88	H
42	200710	2125	203433,78	7566423,04	V
42	200710	2147	203629,31	7566122,92	H
42	200710	1800	205602,56	7568972,35	A
42	210710	1800	203552,56	7567727,95	A
42	210710	1851	206159,84	7565605,69	H
42	210710	2156	202171,88	7567194,40	H
42	220710	1710	203414,23	7567554,30	A
42	220710	1845	203609,90	7566765,50	H
42	220710	1846	203611,42	7566761,33	V
42	220710	1847	203673,37	7566591,12	H
42	220710	1848	203755,02	7566736,00	V
42	220710	1857	203685,59	7566856,26	H
42	220710	185800	203727,85	7566441,43	V
42	220710	185801	203686,22	7565693,84	H
42	220710	185900	203543,81	7566501,48	H
42	220710	185901	204266,89	7564098,46	H
42	220710	190000	204266,89	7564098,46	H
42	220710	190001	204481,41	7565809,12	H
42	220710	190100	203697,21	7566525,63	H
42	220710	190101	204218,18	7565592,79	H
42	220710	190200	203820,70	7566622,25	V
42	220710	190201	203921,33	7566447,96	H
42	220710	190202	204387,34	7566178,91	H
42	220710	1903	204839,18	7565918,03	V
42	220710	192900	203864,73	7566545,99	H
42	220710	192901	203517,34	7566651,57	H
42	220710	193000	203702,69	7566510,55	H
42	220710	193001	205212,08	7565196,02	H
42	220710	193100	204387,34	7566178,91	V
42	220710	193101	204190,68	7566413,27	H
42	220710	1932	203888,09	7566656,48	V
42	220710	1950	203519,84	7566731,75	H
42	220710	195100	204148,24	7565309,96	H
42	220710	195101	203469,33	7566708,92	H
42	220710	195102	203629,73	7566523,77	H
42	220710	1952	204210,72	7566655,65	H
42	220710	1953	203955,56	7566387,62	V
42	220710	2031	203519,84	7566731,75	H
42	220710	2032	203347,32	7566804,01	H
42	220710	203300	203738,55	7566901,97	H
42	220710	203301	203591,56	7566764,83	H
42	220710	203302	203598,18	7566550,24	H
42	220710	203400	204005,54	7566480,33	H
42	220710	203401	204026,02	7566265,58	H
42	220710	203700	203870,36	7566073,44	H
42	220710	203701	203787,57	7566525,18	V
42	220710	2046	203517,61	7566157,08	H
42	220710	204700	203536,32	7566638,28	H
42	220710	204701	203655,69	7566663,24	H
42	220710	204702	203469,33	7566708,92	H
42	220710	204800	204646,86	7565564,43	H
42	220710	204801	204292,38	7565804,22	V
42	220710	205700	206125,32	7567322,82	H
42	220710	205701	204049,57	7566956,81	H
42	220710	205800	203815,77	7567177,18	H
42	220710	205801	205226,71	7567164,37	H
42	220710	2107	203438,03	7567358,48	V
43	280710	1825	203937,09	7567142,95	H
43	280710	1828	204061,36	7567745,97	H
43	280710	182900	203404,40	7567630,13	H
43	280710	182901	203684,28	7567679,48	H
43	280710	1830	203595,26	7567730,61	H
43	280710	1831	203514,13	7567649,48	H
43	290710	182200	203477,25	7567611,46	H
43	290710	182201	203405,76	7567616,06	H
43	290710	1823	203406,91	7567630,07	H
43	290710	1824	203512,88	7567781,41	H
43	290710	1828	203466,68	7567888,67	V
43	290710	1829	203410,19	7567873,54	V
43	290710	183200	203477,49	7567875,80	H
43	290710	183201	203417,46	7567900,76	H
43	290710	183202	203470,20	7568088,24	H
43	290710	1841	203750,26	7568858,16	V
43	290710	1847	203768,02	7568850,67	H
43	290710	1849	203767,84	7568844,61	H
43	300710	1733	203711,51	7567473,00	V
43	280710	1800	203453,92	7567453,10	A
43	280710		203655,58	7567119,51	H
43	280710		204131,09	7567488,03	H
43	280710		203453,01	7567607,60	H
43	280710		204861,67	7567754,11	H
43	280710		203566,26	7567587,63	H
43	290710		203454,51	7567862,52	V
43	290710		203394,40	7567867,78	V
43	290710		203478,91	7567564,72	H
43	290710		203414,12	7567588,76	H
43	290710		203427,49	7567605,57	H
43	290710		203456,24	7567850,43	H
43	290710		203413,94	7567888,16	H
43	300710		203706,06	7567480,66	V
43	300710		203724,94	7567503,18	H
44	10810	1707	203507,57	7567588,94	A
